SUMO;liczba synsetów przypadająca na pojęcie
MilitaryOperation;6
GovernmentOfficer;6
AutomobileSuspension;3
Dome;5
Missile;13
instrument;56
Rigid;13
FlagOfficerRank;2
Guinea;1
Olive;1
Crane;9
TimeInterval;415
Washing;5
UnitedKingdom;8
Island;44
Camp;6
Vodka;15
Radon;1
Vitamin;33
MultiplicationFn;18
GuideBook;3
Decreasing;142
Convoy;2
BaseballInning;7
SingleBed;1
FrequencyMeasure;2
Bidet;1
Share;8
Pig;23
NonnegativeInteger;1
Shoe;94
TravelContainer;7
ManualLabor;59
LassaFever;1
Dress;22
ZaireSezaire;2
productPrice;93
Jewelry;28
Democracy;4
Army;26
West;5
TelevisionStation;9
RomanCatholicChurch;3
Somalia;1
duration;75
Brick;22
PotatoTuber;11
ThaiBaht;1
Government;209
subCollection;2
Detaching;4
Leader;2
TerroristAttack;2
Arsenic;1
ExecutiveResidence;1
AlarmClock;2
PakistaniRupee;1
Chapter;3
Vietnam;2
Rock;27
refers;25
Imagining;1
Raining;8
Battalion;8
RhythmAndBluesMusic;1
BretonLanguage;1
Mouse;18
Radium;1
Urine;3
Check;3
Adjective;12
Paper;40
Mozambique;15
AutomaticGun;6
CavalryUnit;13
SoupStock;4
TangentFn;4
AfroAsiaticLanguage;9
AudioRecording;12
PlanetMercury;1
ItalianLanguage;1
AzerbaijanImanat;1
FabricIron;9
Paint;21
Skylight;2
TrinidadAndTobagoDollar;1
Mule;1
Increasing;131
Meeting;97
HepatitisB;1
HepatitisA;1
Week;5
TorqueWrench;1
SouthAmerica;3
Nest;5
PapuanKina;1
DayTime;8
subProcess;8
Peninsula;6
Insect;1372
Letter;28
ExpressingApproval;45
AlcoholicBeverage;50
attends;7
BedFrame;1
Manufacturer;1
HonduranLempira;1
Treaty;8
Namibia;1
CarRacing;7
UkranianHryvnia;1
Trailer;3
Curling;1
ElectricalComponent;2
PapuaNewGuinea;1
CurrencyCoin;142
Century;2
House;43
BodyCovering;52
Moth;59
Desk;8
Gouda;1
RadiatingUltraviolet;1
ViolentContest;57
Coloring;12
NarrativeText;11
LiberianDollar;1
Cemetery;16
Lawn;5
Thursday;3
AngleMeasure;19
Detergent;5
BiologicallyActiveSubstance;421
InfectiousDisease;128
CashewNut;1
Mathematics;25
Migrant;3
Neutron;1
WaterSport;12
UnitOfMeasure;345
SaudiArabia;1
Lichen;62
FahrenheitDegree;1
Impacting;68
Artery;8
Law;87
EngineCylinder;2
IrishGaelicLanguage;1
Coulomb;1
VolumeMeasure;52
Macedonia;1
DanishKrone;1
Nose;7
spouse;2
MountainRange;37
Bequeathing;7
CircleSector;11
Myanmar;1
wife;86
MarseillesFrance;1
IceSkating;3
ElSalvador;1
Agnostic;2
ReligiousPosition;4
ProbabilityRelation;34
BeginFn;5
Brain;13
Likely;31
NumeratorFn;1
Soybean;1
Year;6
SudanesePound;1
RussianRuble;4
MycobacteriumTuberculosis;1
Canada;1
Mercury;1
precondition;4
Retina;1
HongKongDollar;1
Tube;62
Poking;24
Moon;3
Plateau;3
Thulium;1
ContentBearingObject;428
Cameroon;1
causes;134
IntentionalPsychologicalProcess;12
Maneuver;88
Cricket;1
BroadcastingStation;1
geopoliticalSubdivision;2
AirTransportation;18
Warm;1
OrangeColor;8
SelfPoweredRoadVehicle;1
Ear;4
Flammable;1
confersRight;8
Alaska;1
YemeniRial;1
PassionFruit;1
Bowling;2
Joule;25
Copper;1
BarleyGrain;7
LeafSpring;2
WashBasin;3
Neon;1
Entity;48
Concierge;2
Juice;17
Nitrogen;2
