lemma;variant;domain
alka;1;21
alkad;1;15
alkaliczność;1;4
alkaloid;1;24
alkaloza;1;16
alkamina;1;24
alkan;1;24
alkantaryni;1;11
alkantarzysta;1;15
alkantarzyści;1;11
alkazar;1;3
alkazar;2;3
alken;1;24
alki;1;46
alkierz;1;12
alkierz;2;12
alkierzyk;1;12
alkierzyk;2;12
alkil;1;24
alkin;1;24
alkohol;1;10
alkohol;2;24
alkohol butylowy;1;24
alkohol etylowy;1;24
alkohol metylowy;1;24
alkohol rolniczy;1;24
alkoholan;1;24
alkoholiczka;1;15
alkoholik;1;15
alkoholizacja;1;2
alkoholizacja;2;2
alkoholizm;1;23
alkoholizm;2;23
alkoholizowanie;1;2
alkoholizowanie;2;2
alkomat;1;3
alkometr;1;3
alkowa;1;12
allegretto;1;7
allegretto;2;7
allegro;1;7
allegro;2;7
allegro;3;7
allel;1;14
alleluja;1;7
allogamia;1;4
allozaur;1;21
alma mater;1;12
almanach;1;3
almanach;2;3
almanach;3;3
almandyn;1;14
alochton;1;15
alodium;1;18
aloes;1;17
alokacja;1;2
alokowanie;1;2
alonim;1;7
alonż;1;3
alonż;2;3
alonżka;1;3
alopata;1;15
alopatia;1;2
alotropia;1;16
aloza;1;21
alpaga;1;10
alpaka;1;21
alpaka;2;3
alpaka;3;24
alpaks;1;24
alpejczyk;1;15
alpejka;1;15
alpidy;1;14
alpinarium;1;12
alpinia;1;17
alpinista;1;15
alpinistka;1;15
alpinistyka;1;8
alpinizm;1;8
Alpy;1;12
alrauna;1;17
alt;1;15
alt;2;7
altana;1;3
altanka;1;3
altannik;1;21
altannik lśniący;1;21
altanniki;1;46
altaria;1;18
altarysta;1;15
altarzysta;1;15
alter ego;1;15
alteracja;1;16
alterglobalista;1;15
alterglobalizm;1;26
alternacja;1;7
alternacja ilościowa;1;16
alternacja jakościowa;1;16
alternacja samogłoskowa;1;16
alternacja spółgłoskowa;1;16
alternator;1;3
alternatywa;1;6
alternatywa;2;6
alternatywa;3;6
alternatywa;4;6
alternatywa wykluczająca;1;6
alternatywność;1;6
alterocentryzm;1;4
altimetr;1;3
altimetr;2;3
altocumulus;1;16
altocumulus lenticularis;1;16
altostratus;1;16
altowiolinista;1;15
altowiolinistka;1;15
altowiolista;1;15
altowiolistka;1;15
altówka;1;3
altówka miłosna;1;3
altruista;1;15
altruistka;1;15
altruizm;1;4
altymetr;1;3
altymetr;2;3
altysta;1;15
altystka;1;15
alufelga;1;3
aluminiowanie;1;2
aluminiowanie dyfuzyjne;1;2
aluminium;1;24
aluminografia;1;2
aluminografia;2;3
alumn;1;15
alumn;2;15
aluwium;1;25
aluwium;2;14
aluzja;1;7
aluzyjka;1;7
alwar;1;15
alwarowie;1;11
alzheimer;1;19
ałun;1;14
ałunit;1;14
ałycza;1;17
ałycza;2;10
Am;1;24
amalgamacja;1;6
amalgamat;1;24
amalgamat;2;11
amalgamat stomatologiczny;1;24
amalgamowanie;1;6
amancik;1;15
amant;1;15
amant;2;15
amantka;1;15
amarant;1;4
amarant;2;17
amarylek;1;17
amarylis;1;17
amarylkowate;1;46
amator;1;15
amator;2;15
amator;3;15
amator;4;15
amator kwaśnych jabłek;1;15
amatorka;1;15
amatorka;2;15
amatorka;3;15
amatorka;4;15
amatorskość;1;4
amatorstwo;1;4
amatorstwo;2;26
amatorstwo;3;6
amatorszczyzna;1;4
Amazonia;1;12
amazonka;1;15
amazonka;2;15
Amazonka;3;14
amazonka;4;21
Amazonka;5;15
amazonka;6;3
amba;1;7
ambaras;1;9
ambasada;1;12
ambasador;1;15
ambasador;2;15
ambasador nadzwyczajny;1;15
ambasadorka;1;15
ambasadorka;2;15
ambasadorostwo;1;11
ambasadorowa;1;15
ambasadorowanie;1;2
ambasadorstwo;1;23
ambasadorstwo;2;11
Amber Gold;1;26
ambicja;1;9
ambicja;2;9
ambicjusz;1;15
ambicyjka;1;9
ambicyjka;2;9
ambient;1;6
ambit;1;12
ambitus;1;20
ambiwalencja;1;6
ambiwalentność;1;4
amboceptor;1;24
ambona;1;12
ambona;2;12
ambona;3;14
ambonka;1;3
ambra;1;24
ambra;2;17
ambra;3;3
ambrazura;1;12
ambrazura;2;3
ambrowiec;1;17
ambrozja;1;10
ambrozja;2;10
ambrozja;3;23
ambulans;1;3
ambulatorium;1;12
ambystoma;1;21
ambystoma krecia;1;21
ambystoma meksykańska;1;21
ambystoma meksykańska;2;21
ambystoma plamista;1;21
ambystoma tygrysia;1;21
ambystoma znad Pacyfiku;1;21
ambystomowate;1;46
ameba;1;21
amebocyt;1;14
ameboza;1;19
amen;1;7
ameryk;1;24
Ameryka;1;12
Ameryka;2;12
Ameryka;3;12
Ameryka Centralna;1;12
Ameryka Łacińska;1;12
Ameryka Południowa;1;12
Ameryka Północna;1;12
Ameryka Środkowa;1;12
Amerykaniec;1;15
amerykaniec;2;15
Amerykanin;1;15
Amerykanin;2;15
amerykanista;1;15
amerykanistka;1;15
amerykanistyka;1;6
amerykanizacja;1;19
amerykanizm;1;6
amerykanizm;2;7
amerykanizowanie;1;2
amerykanizowanie;2;2
amerykanizowanie się;1;2
Amerykanka;1;15
Amerykanka;2;15
amerykanka;3;3
Amerykańsko-Żydowski Połączony Komitet Pomocy;1;11
amerykańskość;1;4
amerykańszczyzna;1;6
ametropia;1;16
ametyst;1;14
amfa;1;24
amfetamina;1;24
amfetaminiarz;1;15
amfibia;1;3
amfibia;2;3
amfibia;3;21
amfibol;1;14
amfibolia;1;7
amfibolit;1;24
amfibologia;1;7
amfibrach;1;20
amfiktionia;1;26
amfilada;1;12
amfisbena;1;21
amfisbena;2;21
amfiteatr;1;12
amfiteatr;2;12
amfitrion;1;15
amfora;1;3
amid;1;24
amikoszoneria;1;7
