lemma;domain;distance
bluźnierca;os;7
błyszczka gamma;zw;8
błyszczka jarzynówka;zw;8
boa;zw;9
boa dusiciel;zw;9
bobak;zw;9
bobas;os;7
bobo;os;7
bóbr;zw;9
bóbr europejski;zw;10
bobroszczur;zw;9
bobsleista;os;6
bochnianin;os;7
bocja;zw;9
bóg;os;3
Bóg;os;3
bóg;os;7
bóg;os;8
bogacz;os;5
bogatek;zw;8
bogatka;zw;8
bogini;os;7
boginka;os;3
bohater;os;3
bohater;os;5
bohater;os;6
bohater mityczny;os;5
bohema;grp;3
bohemista;os;10
bojar;os;7
bojarowa;os;8
bojar putny;os;8
bojarzyn;os;8
bojowiec;os;7
bojowiec;zw;9
bojówka;grp;2
bojówkarz;os;8
bojownik;os;7
bojownik;zw;7
bojownik;zw;8
bokser;os;6
bokser;zw;8
boleń;zw;9
bolończyk;zw;8
bolszewik;os;10
bolszewik;os;7
bombardier;os;8
bombiarz;os;8
bona;os;9
bonapartysta;os;8
bonifrater;os;10
bon vivant;os;6
bon viveur;os;6
bonza;os;6
bonza;os;7
bonzo;os;6
bonzo;os;7
bookmacher;os;6
boratek;zw;6
borecznik;zw;5
borowiaczek;zw;10
borowiec;os;4
borowiec;os;8
borowiec;zw;9
borowiec Leislera;zw;10
borowiec wielki;zw;10
borowy;os;11
borowy;os;4
borsuk;os;5
borsuk;os;7
borsuk;zw;5
boruta;os;4
bosman;os;10
bosman;os;9
bosmanat;zwz;6
bosmanmat;os;10
Bośniak;os;6
boss;os;6
bóstwo;os;3
bóstwo;os;8
botanik;os;8
boy;os;7
boy hotelowy;os;8
boys band;grp;5
boysband;grp;6
boża krówka;zw;8
bożek;os;3
bożek;os;4
bożek;os;8
bożogrobiec;os;8
bożyszcze;os;3
bożyszcze;os;7
brabanson;zw;10
brać;grp;4
brach;os;7
brachiozaur;zw;6
bractwo;grp;3
bractwo;grp;4
bractwo kurkowe;grp;3
brahman;zw;10
brakarz;os;6
brakorób;os;5
brakoróbca;os;5
bramin;os;7
bramkarz;os;7
brandmajster;os;9
braniec;os;8
branżowiec;os;6
branżowiec;os;7
branżysta;os;6
brat;os;4
brat;os;6
brat;os;8
bratanek;os;8
bratanica;os;8
brataniec;os;9
bratanka;os;9
brat cioteczny;os;9
braterstwo;grp;4
brat łata;os;7
brat mleczny;os;5
bratnia dusza;os;6
bratobójca;os;10
bratowa;os;8
brat polski;os;10
brat stryjeczny;os;9
brat syjamski;os;7
brązownik;os;6
brązownik;os;7
brązowy medalista;os;10
Brazylijczyk;os;6
bridżysta;os;7
brodacz;os;7
brodacz monachijski;zw;8
broholmer;zw;9
brojler;jedz;6
brojler;jedz;9
broker;os;6
brontozaur;zw;6
browar;msc;8
browarnia;msc;8
browarnik;os;8
brudas;os;6
brudnica;zw;5
brudnica mniszka;zw;6
brudnica nieparka;zw;6
brukarz;os;9
Brunejczyk;os;6
brunet;os;7
brutal;os;8
bruzdogłowiec szeroki;zw;7
bruzdownica;zw;7
bruzdownica pędówka;zw;7
brydżowiec;os;7
brydżysta;os;7
brygada;grp;3
brygada;grp;6
brygadier;os;6
brygadier;os;8
brygadzista;os;6
brygant;os;10
brygant;os;8
brykieciarnia;msc;8
brykietownia;msc;8
bryła lodu;os;7
brylant;os;6
brytan;zw;7
brytan;zw;8
Brytyjczyk;os;6
brzana;zw;9
brzanka;zw;9
brzdąc;os;7
brzęczak;zw;5
brzęczak porzeczkowy;zw;5
brzęczka;zw;8
brzeginia;os;4
brzeginka;os;4
brzegowiec;zw;5
brzegówka;zw;9
brzeszczanin;os;7
brzuchacz;os;7
brzuchomówca;os;7
brzuchonóg;zw;6
brzuchorzęska;zw;6
brzydal;os;7
brzydkie kaczątko;os;7
brzydula;os;8
brzytwa;os;7
brzytwa;os;9
bubek;os;7
buc;os;7
bucefał;zw;10
buchalter;os;8
buddysta;os;8
budowa;msc;7
budowlaniec;os;7
budowlanka;umy;6
budowlany;os;7
budowniczy;os;8
budrys;os;7
budżetowiec;os;6
budziciel;os;5
budziciel;os;7
bufeciarz;os;8
bufet;msc;8
bufetowy;os;8
bufon;os;8
buhaj;zw;7
bujanka;zw;7
bujanka większa;zw;8
bukanier;os;9
bukat;zw;7
bukieciarz;os;7
bukinista;os;7
bukmacher;os;6
buła;os;8
bułana;zw;11
bułanek;zw;10
bułanka;zw;11
bułany;zw;10
buława;st;5
buldog;zw;8
buldog amerykański;zw;9
buldog angielski;zw;9
buldog francuski;zw;9
buldożek;zw;8
Bułgar;os;6
bułgarysta;os;10
bulimik;os;7
bullterier;os;7
bull terrier;zw;4
bulterier;os;7
bulterier;zw;4
bumelant;os;6
Bundesrat;grp;6
Bundestag;grp;6
bundowiec;os;9
buntownik;os;6
burak;os;7
burczymucha;os;7
burdel;msc;5
burdelówka;os;10
burek;os;6
burgrabia;os;10
burgrabia;os;6
burłak;os;7
burmistrz;os;9
burmistrzanka;os;10
burmistrzostwo;grp;4
burmistrzostwo;st;5
burmistrzowa;os;8
burmistrzówna;os;10
bursiarz;os;6
bursista;os;6
bursz;os;7
burszenszaft;grp;4
bursztyniarz;os;6
bursztyniarz;os;7
bursztynka;zw;7
bursztynnik;os;7
burunduk;zw;9
burżuj;os;4
burżuj;os;8
burzyciel;os;7
burzyk;zw;9
business;zwz;4
businessman;os;3
busker;os;8
Buszmen;os;6
buszmenoid;os;8
butik;msc;6
byczek;zw;6
byczek;zw;7
bydgoszczanin;os;7
bydlak;os;8
bydlak;zw;4
bydlak;zw;7
bydlę;os;8
bydlę;zw;4
bydlę;zw;6
bydło;grp;2
byk;os;6
byk;os;7
byk;zw;6
była;os;7
była żona;os;7
były;os;7
były mąż;os;7
bysio;os;6
bysior;os;6
bystrzak;os;8
bytomianin;os;7
bywalec;os;5
bździągwa;os;7
bzik;os;7
bzik;os;8
bzyg;zw;8
cadyk;os;8
cakiel;zw;6
call girl;os;10
camorra;grp;5
campingowiec;os;7
cane corso;zw;9
cap;zw;6
car;os;6
carat;grp;7
caravaggionista;os;10
carewicz;os;11
carewna;os;10
carobójca;os;10
carowa;os;8
carówna;os;10
carstwo;grp;4
carstwo;grp;7
carstwo;st;5
caryca;os;8
casanova;os;7
